Init,n_init,max_iter,norm,error,,k-means++,5,100,TRUE,0.952666667,,Hyperparameter,Average Error,Minimum Error
k-means++,5,100,FALSE,2.232,,k-means++,5,200,TRUE,0.887333333,,k-means++,0.9805,0.834
k-means++,5,200,FALSE,2.92,,k-means++,5,300,TRUE,1.115333333,,Random,1.039916667,0.887333333
k-means++,5,300,FALSE,2.224,,k-means++,5,500,TRUE,1.062,,,,
k-means++,5,500,FALSE,2.532,,k-means++,10,100,TRUE,0.878,,,,
k-means++,10,100,FALSE,2.62,,k-means++,10,200,TRUE,0.834,,Hyperparameter,Average Error,Minimum Error
k-means++,10,200,FALSE,2.612,,k-means++,10,300,TRUE,1.062,,k-means++,2.573625,2.224
k-means++,10,300,FALSE,2.92,,k-means++,10,500,TRUE,0.952666667,,Random,2.5235,2.274
k-means++,10,500,FALSE,2.422,,k-means++,15,100,TRUE,0.952666667,,,,
k-means++,15,100,FALSE,2.418,,k-means++,15,200,TRUE,1.016666667,,,,
k-means++,15,200,FALSE,2.532,,k-means++,15,300,TRUE,0.878,,,,
k-means++,15,300,FALSE,2.62,,k-means++,15,500,TRUE,1.056666667,,,,
k-means++,15,500,FALSE,2.62,,k-means++,20,100,TRUE,0.896666667,,,,
k-means++,20,100,FALSE,2.556,,k-means++,20,200,TRUE,1.056666667,,,,
k-means++,20,200,FALSE,2.62,,k-means++,20,300,TRUE,1.134,,,,
k-means++,20,300,FALSE,2.428,,k-means++,20,500,TRUE,0.952666667,,,,
k-means++,20,500,FALSE,2.902,,random,5,100,TRUE,1.198,,,,
random,5,100,FALSE,2.624,,random,5,200,TRUE,1.131333333,,,,
random,5,200,FALSE,2.62,,random,5,300,TRUE,1.109333333,,,,
random,5,300,FALSE,2.928,,random,5,500,TRUE,1.09,,,,
random,5,500,FALSE,2.304,,random,10,100,TRUE,0.887333333,,,,
random,10,100,FALSE,2.856,,random,10,200,TRUE,0.907333333,,,,
random,10,200,FALSE,2.492,,random,10,300,TRUE,0.896666667,,,,
random,10,300,FALSE,2.532,,random,10,500,TRUE,0.91,,,,
random,10,500,FALSE,2.336,,random,15,100,TRUE,1.131333333,,,,
random,15,100,FALSE,2.336,,random,15,200,TRUE,1.096,,,,
random,15,200,FALSE,2.532,,random,15,300,TRUE,1.183333333,,,,
random,15,300,FALSE,2.274,,random,15,500,TRUE,1.114,,,,
random,15,500,FALSE,2.884,,random,20,100,TRUE,0.952666667,,,,
random,20,100,FALSE,2.62,,random,20,200,TRUE,1.107333333,,,,
random,20,200,FALSE,2.278,,random,20,300,TRUE,1.016666667,,,,
random,20,300,FALSE,2.336,,random,20,500,TRUE,0.907333333,,,,
random,20,500,FALSE,2.424,,,,,,,,,,
k-means++,5,100,TRUE,0.952666667,,,,,,,,,,
k-means++,5,200,TRUE,0.887333333,,,,,,,,,,
k-means++,5,300,TRUE,1.115333333,,,,,,,,,,
k-means++,5,500,TRUE,1.062,,,,,,,,,,
k-means++,10,100,TRUE,0.878,,,,,,,,,,
k-means++,10,200,TRUE,0.834,,,,,,,,,,
k-means++,10,300,TRUE,1.062,,,,,,,,,,
k-means++,10,500,TRUE,0.952666667,,,,,,,,,,
k-means++,15,100,TRUE,0.952666667,,,,,,,,,,
k-means++,15,200,TRUE,1.016666667,,,,,,,,,,
k-means++,15,300,TRUE,0.878,,,,,,,,,,
k-means++,15,500,TRUE,1.056666667,,,,,,,,,,
k-means++,20,100,TRUE,0.896666667,,,,,,,,,,
k-means++,20,200,TRUE,1.056666667,,,,,,,,,,
k-means++,20,300,TRUE,1.134,,,,,,,,,,
k-means++,20,500,TRUE,0.952666667,,,,,,,,,,
random,5,100,TRUE,1.198,,,,,,,,,,
random,5,200,TRUE,1.131333333,,,,,,,,,,
random,5,300,TRUE,1.109333333,,,,,,,,,,
random,5,500,TRUE,1.09,,,,,,,,,,
random,10,100,TRUE,0.887333333,,,,,,,,,,
random,10,200,TRUE,0.907333333,,,,,,,,,,
random,10,300,TRUE,0.896666667,,,,,,,,,,
random,10,500,TRUE,0.91,,,,,,,,,,
random,15,100,TRUE,1.131333333,,,,,,,,,,
random,15,200,TRUE,1.096,,,,,,,,,,
random,15,300,TRUE,1.183333333,,,,,,,,,,
random,15,500,TRUE,1.114,,,,,,,,,,
random,20,100,TRUE,0.952666667,,,,,,,,,,
random,20,200,TRUE,1.107333333,,,,,,,,,,
random,20,300,TRUE,1.016666667,,,,,,,,,,
random,20,500,TRUE,0.907333333,,,,,,,,,,
