n_comp,whiten,norm,error
1,False,True,0.8119999999999988
1,False,True,0.8119999999999988
1,False,True,0.8119999999999988
1,False,True,0.8119999999999988
1,False,False,3.542
1,False,False,3.542
1,False,False,3.542
1,False,False,3.542
1,True,True,0.8119999999999988
1,True,True,0.8119999999999988
1,True,True,0.8119999999999988
1,True,True,0.8119999999999988
1,True,False,3.542
1,True,False,3.542
1,True,False,3.542
1,True,False,3.542
2,False,True,0.7993333333333322
2,False,True,0.7993333333333322
2,False,True,0.7993333333333322
2,False,True,0.7993333333333322
2,False,False,3.542
2,False,False,3.542
2,False,False,3.542
2,False,False,3.542
2,True,True,0.7993333333333322
2,True,True,0.7993333333333322
2,True,True,0.7993333333333322
2,True,True,0.7993333333333322
2,True,False,3.472
2,True,False,3.474
2,True,False,3.474
2,True,False,3.474
3,False,True,0.7993333333333322
3,False,True,0.7993333333333322
3,False,True,0.7993333333333322
3,False,True,0.7993333333333322
3,False,False,3.542
3,False,False,3.542
3,False,False,3.542
3,False,False,3.542
3,True,True,0.7993333333333322
3,True,True,0.7993333333333322
3,True,True,0.7993333333333322
3,True,True,0.7993333333333322
3,True,False,3.48
3,True,False,3.478
3,True,False,3.48
3,True,False,3.48
4,False,True,0.7993333333333322
4,False,True,0.7993333333333322
4,False,True,0.7993333333333322
4,False,True,0.7993333333333322
4,False,False,3.542
4,False,False,3.542
4,False,False,3.542
4,False,False,3.542
4,True,True,0.7993333333333322
4,True,True,0.7993333333333322
4,True,True,0.7993333333333322
4,True,True,0.7993333333333322
4,True,False,3.53
4,True,False,3.508
4,True,False,3.486
4,True,False,3.486
5,False,True,0.7993333333333322
5,False,True,0.7993333333333322
5,False,True,0.7993333333333322
5,False,True,0.7993333333333322
5,False,False,3.542
5,False,False,3.542
5,False,False,3.542
5,False,False,3.542
5,True,True,0.7993333333333322
5,True,True,0.7993333333333322
5,True,True,0.7993333333333322
5,True,True,0.7993333333333322
5,True,False,3.476
5,True,False,3.512
5,True,False,3.498
5,True,False,3.512
6,False,True,0.7993333333333322
6,False,True,0.7993333333333322
6,False,True,0.7993333333333322
6,False,True,0.7993333333333322
6,False,False,3.542
6,False,False,3.542
6,False,False,3.542
6,False,False,3.542
6,True,True,0.7993333333333322
6,True,True,0.7993333333333322
6,True,True,0.7993333333333322
6,True,True,0.7993333333333322
6,True,False,3.514
6,True,False,3.514
6,True,False,3.514
6,True,False,3.514
7,False,True,0.7993333333333322
7,False,True,0.7993333333333322
7,False,True,0.7993333333333322
7,False,True,0.7993333333333322
7,False,False,3.542
7,False,False,3.542
7,False,False,3.542
7,False,False,3.542
7,True,True,0.7993333333333322
7,True,True,0.7993333333333322
7,True,True,0.7993333333333322
7,True,True,0.7993333333333322
7,True,False,3.514
7,True,False,3.514
7,True,False,3.514
7,True,False,3.514
