Init,n_init,max_iter,norm,error
k-means++,5,100,True,0.6164
k-means++,5,100,False,0.7468
k-means++,5,200,True,0.6164
k-means++,5,200,False,0.7468
k-means++,5,300,True,0.6164
k-means++,5,300,False,0.7468
k-means++,5,500,True,0.6164
k-means++,5,500,False,0.7468
k-means++,10,100,True,0.6164
k-means++,10,100,False,0.7468
k-means++,10,200,True,0.6164
k-means++,10,200,False,0.7468
k-means++,10,300,True,0.6164
k-means++,10,300,False,0.7468
k-means++,10,500,True,0.6164
k-means++,10,500,False,0.7468
k-means++,15,100,True,0.6164
k-means++,15,100,False,0.7468
k-means++,15,200,True,0.6164
k-means++,15,200,False,0.7468
k-means++,15,300,True,0.6164
k-means++,15,300,False,0.7468
k-means++,15,500,True,0.6164
k-means++,15,500,False,0.7468
k-means++,20,100,True,0.6164
k-means++,20,100,False,0.7468
k-means++,20,200,True,0.6164
k-means++,20,200,False,0.7468
k-means++,20,300,True,0.6164
k-means++,20,300,False,0.7468
k-means++,20,500,True,0.6164
k-means++,20,500,False,0.7468
random,5,100,True,0.6164
random,5,100,False,0.7468
random,5,200,True,0.6164
random,5,200,False,0.7468
random,5,300,True,0.6164
random,5,300,False,0.7468
random,5,500,True,0.6164
random,5,500,False,0.7468
random,10,100,True,0.6164
random,10,100,False,0.7468
random,10,200,True,0.6164
random,10,200,False,0.7468
random,10,300,True,0.6164
random,10,300,False,0.7468
random,10,500,True,0.6164
random,10,500,False,0.7468
random,15,100,True,0.6164
random,15,100,False,0.7468
random,15,200,True,0.6164
random,15,200,False,0.7468
random,15,300,True,0.6164
random,15,300,False,0.7468
random,15,500,True,0.6164
random,15,500,False,0.7468
random,20,100,True,0.6164
random,20,100,False,0.7468
random,20,200,True,0.6164
random,20,200,False,0.7468
random,20,300,True,0.6164
random,20,300,False,0.7468
random,20,500,True,0.6164
random,20,500,False,0.7468
