,0,1,2,3,4,5,6,7,8,9
2,0.6276487230761063,0.8981667508815698,0.9350948707023536,0.6378587289456044,0.8527580055928113,0.6656614978026505,0.8671845635491023,0.7682159704386019,0.8547857111332413,0.6689965209482249
3,0.6624100090027754,0.782558502419387,0.5243613805980512,0.48440885888233887,0.8554399067585341,0.5079590537434691,0.7564959777954874,0.6845168279195504,0.4576662503873018,0.8429368870841484
4,0.25543924189449313,0.38388826228286316,0.5569561857365493,0.5833998142048272,0.5371506139217579,0.35928981535911136,0.36826725230816104,0.6313468874227465,0.6680185241549093,0.48854056402380536
5,0.21686250666620588,0.22149827681647627,0.4928871855148256,0.36943946597144456,0.6715655903838355,0.2567948888812126,0.23033428428476846,0.33324393215444514,0.6670727793729985,0.38084476099859443
6,0.21862194224407144,0.3499302946120952,0.1432650285640613,0.06650956927693372,0.31444287679201577,0.12078679631537152,0.07167744766675907,0.18018865727148894,0.46023100394676775,0.21512019757704673
7,0.10038700503254683,0.20707315175495225,0.09655861312519999,4.191554480798214e-30,0.14285714285714296,3.548199274743086e-30,4.979352451710517e-30,0.08121640421174132,0.5101031033832537,0.14285714285714285
8,1.0521828735776988e-30,1.9953553240496715e-30,0.05640454169166616,1.2074584926230837e-30,0.04981987567958132,2.1254365066926646e-30,1.0513740092553626e-30,2.107227197263203e-30,0.0447008111701667,8.82554267386968e-30
9,6.265934576834941e-30,8.519470534616962e-31,6.4489924638467335e-31,1.1697529406297053e-30,1.5795661568946634e-30,5.4373905554390824e-30,2.523317882922189e-30,7.085314387540993e-31,1.3560235904549892e-29,6.966349169790064e-31
10,1.1793027233695224e-30,1.0828607760639875e-30,1.2398239225166964e-30,1.0581561683303091e-30,4.737587469499668e-31,9.346763302020272e-31,8.936883240985976e-31,2.5002618347565914e-31,1.1620594029938189e-30,3.7449194258940477e-31
15,2.5007206537883713e-30,5.3986347931868335e-31,5.956826960727147e-31,3.569255932186493e-31,4.461792281724225e-31,1.1916525774101757e-30,4.624444136534072e-31,2.7783327989405055e-30,1.169355271716067e-30,1.3444204147326058e-30
20,5.678433157009083e-31,5.10724503099399e-31,9.142048411009396e-31,9.325450411450586e-31,7.855837623111015e-31,6.14663028617439e-31,7.328279186107541e-31,3.1529590315398877e-31,4.398758059358371e-31,2.725772516675456e-29
25,3.499733106901944e-31,8.196622085517479e-31,1.902325153265341e-29,8.322433810727335e-31,6.416778786992024e-30,5.2123825407904545e-31,9.55876764441787e-31,8.22851590607957e-31,3.702153402233224e-31,8.043540366829863e-31
30,9.916510653109302e-31,5.3400345900168365e-31,6.255668775978181e-31,1.1281789744861126e-30,1.1311137351387459e-30,3.9163369088762582e-31,1.0145663809514544e-30,8.342618632049875e-31,7.433325917417165e-31,4.659823359835687e-31
35,3.7256745599470805e-30,5.5070001041483915e-31,2.8194056353950174e-31,1.0085550249008442e-30,5.9830832025030695e-31,3.0831004320995294e-31,7.589340080927988e-31,3.3589881793557025e-31,4.927564606900179e-31,1.3878163498315144e-30
40,3.0021789070701865e-30,2.7140035405321336e-31,5.758482002325238e-30,5.901494416904897e-31,5.431869326757497e-31,6.705988108841954e-31,4.907351289675401e-31,3.831309001814268e-31,4.443394023735838e-31,4.674711229736216e-31
45,6.127013597296709e-31,1.1964561509190112e-30,5.183641700458336e-31,2.1011402734115434e-31,4.055024157455108e-31,1.4922115135082561e-31,4.595934003233305e-31,5.561535367631754e-31,1.3868574051459595e-30,9.450106767540575e-31
50,7.537483854703714e-30,9.165408669205987e-31,6.4829177274938126e-31,7.014679124301361e-31,8.335022404465618e-31,6.579833808689707e-31,2.672866439983784e-31,6.1220521820528765e-31,4.808923347331804e-31,9.153961047708514e-31
55,5.576126140115336e-31,8.981511475696426e-31,5.188617033555282e-31,4.957437132204108e-31,4.084634781466168e-31,2.9864671842483974e-31,2.1125852372362386e-31,3.189987182660777e-31,6.950670296018769e-31,5.120196010161012e-31
60,1.3529771834484917e-30,3.3186842162340007e-31,4.874292344445877e-31,7.216717640562248e-31,2.1139755094704757e-31,2.949071041406366e-31,3.120060100934673e-31,1.0750410310597047e-30,5.572605770017329e-31,5.9843519633584885e-31
